School,Type,School UID,School Number,Suburb,Coord East,Coord South,Google Maps Link,Google Maps,School Info
Walmer HS,High School,SCH-00012,12,Walmer,-33.984663,25.58707228,"https://www.google.com/maps?q=-33.98466340728998,25.587072282010705","https://www.google.com/maps?q=-33.98466340728998,25.587072282010705","School Address: Corner Heugh Road & 9th Avenue, Walmer, Port Elizabeth, 6070
School Email: Not publicly listed
School Principal: Mr Siyanda Sitsheke
School Phone number: 041 581 1075
Suburb: Walmer"
West End,Primary,SCH-00136,136,Bethelsdorp,-33.881385,25.51862858,"https://www.google.com/maps?q=-33.88138484719807,25.518628582004904","https://www.google.com/maps?q=-33.88138484719807,25.518628582004904","School Address: 26-36 St Dominic Street, West End, Port Elizabeth, 6059
School Email: 200108045@vodamail.co.za
School Principal: Blignaut Yf (2023)
School Phone number: (+27) 41 481 1914
Suburb: West End, Port Elizabeth"
Winterberg,Primary,SCH-00120,120,Gerald Smith,-33.769461,25.39377555,"https://www.google.com/maps?q=-33.769461193223336,25.39377555316326","https://www.google.com/maps?q=-33.769461193223336,25.39377555316326","School Address: R344, Winterberg area, Tarkastad, 5370, Eastern Cape
School Email: info@winterbergschool.org
School Principal: Not publicly listed
School Phone number: +27 (0)45 848 0004
Suburb: Winterberg area, Tarkastad"
Wongalethu,High School,SCH-00009,9,East London,-32.950130,27.74998477,"https://www.google.com/maps?q=-32.95013003109316,27.749984766612005","https://www.google.com/maps?q=-32.95013003109316,27.749984766612005","School Address: 5107 NU 2, Mdantsane, East London, 5219
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 043 760 0062 / 043 761 6496
Suburb: Mdantsane"
Yellowwoods,Primary,SCH-00178,178,Witteklip,-33.903179,25.25738364,"https://www.google.com/maps?q=-33.903179445739774,25.25738363920157","https://www.google.com/maps?q=-33.903179445739774,25.25738363920157","School Address: Between Adelaide and Bedford, P.O. Box 136, Adelaide, 5760, Eastern Cape, South Africa
School Email: ywadmin@procomp.co.za
School Principal: Not listed on the official website
School Phone number: 046 684 0708
Suburb: Near Adelaide (between Adelaide and Bedford)"
Yomelela EduCare,ECD,SCH-00236,236,Kwazakhele,-33.880337,25.60037885,"https://www.google.com/maps?q=-33.88033705943463,25.600378852694693","https://www.google.com/maps?q=-33.88033705943463,25.600378852694693","School Address: 11524 Mathodlana Street, Port Elizabeth, Eastern Cape
School Email: Not publicly listed
School Principal: Nombulelo Mgqwanci
School Phone number: Not publicly listed
Suburb: Not explicitly listed, but located in Nelson Mandela Bay, Port Elizabeth"
Zamukukhanya,Primary,SCH-00156,156,Zwide,,,,,
Zanolwazi,High School,SCH-00011,11,Despatch,,,,,
Zanoxolo,Primary,SCH-00058,58,Motherwell,-33.797113,25.60487174,"https://www.google.com/maps?q=-33.79711267861864,25.60487173967095","https://www.google.com/maps?q=-33.79711267861864,25.60487173967095","School Address: 1 Qhude Street, Motherwell, Gqeberha, 6211
School Email: thembekaveto@gmail.co.za
School Principal: Not publicly listed
School Phone number: +27 41 469 2183
Suburb: Motherwell, Gqeberha"
Zizamele,ECD,SCH-00304,304,New Brighton,-33.892751,25.60417254,"https://www.google.com/maps?q=-33.892751,25.60417254","https://www.google.com/maps?q=-33.892751,25.60417254","School Address: Main Street, Zizamele Township, Msobomvu Township, Butterworth, 4960
School Email: Not publicly listed
School Principal: Not publicly listed (previously listed as Mbuyazwe Oz for Zizamele Primary, but not confirmed for this school)
School Phone number: 073 258 9282
Suburb: Msobomvu Township, Butterworth"
Zukhanye,ECD,SCH-00249,249,,-33.797929,25.60619036,"https://www.google.com/maps?q=-33.797929,25.60619036","https://www.google.com/maps?q=-33.797929,25.60619036","School Address: Mzantsi Location, King Williams Town, 5600
School Email: twk9550002002@gmail.com
School Principal: Not publicly listed
School Phone number: 079 480 5014
Suburb: Mzantsi Location"
Zukisa,Primary,SCH-00307,307,Mdantsane,,,,,
